step	assay	script	production_name	api	status	purpose	main_inputs	main_outputs
00	shared	scripts/28_add_stable_ids_to_master.py	01_prepare_rowwise_master.py	no	active_for_RNA_foundation	Add stable source_row_id and curation_group_id to the RNA master metadata without modifying the original Excel.	RNA master Excel	outputs/01_CURRENT_DRAFT_TABLES/rowwise_master_with_stable_ids.tsv
01	shared/RNA	scripts/33_fetch_public_sra_biosample_metadata.py	02_fetch_public_metadata.py	NCBI only; no OpenAI	active_for_RNA_public_metadata	Fetch/cache SRA RunInfo and BioSample XML metadata for runs.	rowwise stable-ID table	data/sra_runinfo_cache; data/biosample_cache
02	shared/RNA	scripts/34_build_rowwise_public_metadata_evidence.py	03_build_rowwise_public_evidence.py	no	active_for_RNA_public_metadata	Convert cached SRA/BioSample metadata into compact rowwise evidence for AI/curator review.	rowwise stable-ID table; SRA/BioSample cache	rowwise public metadata evidence TSV
03	shared/RNA	scripts/35_make_paper_level_ai_packets.py	04_build_paper_packets.py	no	active_for_RNA_packets	Create PMID/BioProject packet JSONs and sidecar rowwise TSVs.	rowwise public metadata evidence; paper/PDF context	paper packet JSONs and rowwise sidecar TSVs
04	shared/RNA	scripts/37_resolve_publication_links_for_packets.py	05_resolve_publications.py	NCBI only; no OpenAI	active_for_RNA_publication_resolution	Resolve or flag publication links for paper/BioProject packets using public metadata and NCBI/Entrez signals.	paper packets; BioProject/PMID metadata	trusted PMID packet tables and unresolved/held tables
05	shared/RNA	scripts/38_make_trusted_assay_aware_ai_queue.py	06_make_ai_queue.py	no	active_for_RNA_ai_queue	Build trusted assay-aware AI queue; exclude or hold unsafe/no-PMID packets.	trusted PMID packets; rowwise metadata	AI priority queue
06	shared/RNA/ChIP	scripts/39_run_agentic_ai_on_paper_packet.py	07_run_ai_on_packet_optional.py	OpenAI optional; disabled unless explicitly enabled	active_shared_ai_runner	Run AI on one packet: paper text + rowwise evidence -> study_summary, sample_map, rowwise_suggestions, readiness, warnings.	packet JSON; rowwise sidecar TSV; PDF/paper text	AI curation JSON
07	RNA	scripts/41e_batch_run_trusted_queue_production.py	08_run_rna_ai_batch_optional.py	OpenAI optional; dry-run by default	active_RNA_ai_batch	Production-safe batch runner for trusted RNA packets; skips already PASS unless forced.	trusted RNA AI queue	RNA AI output directories
08	RNA	scripts/40_validate_ai_curation_output.py	09_validate_rna_ai_output.py	no	active_RNA_validation	Validate one RNA AI JSON: rowwise coverage, source_row_id uniqueness, sample_map validity.	AI JSON; packet table	validation summary and issue tables
09	RNA	scripts/48_rebuild_sample_map_from_rowwise.py	10_repair_rna_sample_map.py	no	active_RNA_safe_repair	Deterministically rebuild sample_map from rowwise_suggestions when rowwise coverage is exact.	AI JSON with valid rowwise_suggestions	repaired AI JSON plus audit
10	RNA	scripts/43_deep_qc_ai_outputs.py	11_inventory_rna_ai_outputs.py	no	active_RNA_inventory	Inventory RNA AI outputs and select active validated PASS outputs.	RNA AI output folders; validation summaries	deep_qc inventory tables
11	RNA	scripts/43c_semantic_red_flag_scan.py	12_scan_rna_semantic_flags.py	no	active_RNA_semantic_QC	Scan structurally PASS RNA outputs for low confidence, fallback, curator_check, or suspicious semantic patterns.	active PASS RNA AI JSONs	semantic red flag summary and row tables
12	RNA	scripts/47_extract_ai_study_summaries.py	13_extract_rna_study_summaries.py	no	active_RNA_summary_export	Extract study_summary and warnings from active validated RNA AI JSONs.	active PASS RNA AI JSONs	ai_study_summaries.tsv
13	RNA	scripts/47b_clean_ai_study_summary_table.py	14_clean_rna_study_summaries.py	no	active_RNA_summary_cleanup	Clean RNA study summaries and separate curator warnings from technical/chunking warnings.	ai_study_summaries.tsv	AI_STUDY_SUMMARIES_CLEAN.md; ai_study_summaries_clean.tsv
14	RNA	scripts/42_build_curator_excel_from_ai_outputs.py	15_build_rna_curator_workbook.py	no	active_RNA_curator_excel	Build RNA curator-facing Excel workbook from active PASS AI outputs and QC summaries.	active RNA inventory; study summaries; semantic QC	RNA curator Excel workbook
15	RNA	scripts/49_finalize_trusted_rna_ai_phase.py	16_finalize_rna_curator_release.py	no	active_RNA_finalization	Finalize trusted RNA phase, held packets, red flags, and share package summary.	RNA curator Excel; deep QC tables	TRUSTED_RNA_AI_PHASE_COMPLETION_REPORT.md; trusted RNA share folder
20	ChIP	scripts/50_inspect_chip_master.py	20_inspect_chip_input.py	no	active_ChIP_inspection	Inspect ChIP master metadata columns, factor tags, PMIDs, BioProjects, and basic structure.	ChIP master Excel	CHIP_MASTER_INSPECTION_REPORT.md
21	ChIP	scripts/51_build_chip_rowwise_evidence_and_inventory.py	21_build_chip_rowwise_evidence.py	no	active_ChIP_rowwise_evidence	Build ChIP rowwise evidence table with stable source_row_id, target, role hints, stage/strain/condition, and public metadata fields.	ChIP master Excel	chip_rowwise_evidence.tsv; inventory/report
22	ChIP	scripts/52_make_chip_ai_queue_and_control_policy.py	22_build_chip_queue_and_control_policy.py	no	active_ChIP_policy_queue	Create ChIP group/control policy and candidate queue; identify target/control structure before AI.	chip_rowwise_evidence.tsv	chip_group_control_policy.tsv; chip_ai_candidate_queue.tsv
23	ChIP	scripts/53a_fetch_chip_sra_runinfo_publication_signals.py	23_fetch_chip_public_metadata.py	NCBI only; no OpenAI	active_ChIP_publication_resolution	Fetch ChIP SRA RunInfo/public metadata and extract publication signals.	chip_rowwise_evidence.tsv	ChIP public metadata and publication signal tables
24	ChIP	scripts/53b_resolve_chip_publications_via_entrez_links.py	24_resolve_chip_publications.py	NCBI only; no OpenAI	active_ChIP_publication_resolution	Resolve BioProject -> PMID links using Entrez links/searches and confidence-scored suggestions.	ChIP public metadata publication signals	Entrez publication-resolution table
25	ChIP	scripts/54_curate_chip_publication_backfills.py	25_curate_chip_publication_backfills.py	no	active_ChIP_publication_resolution	Apply deterministic/manual backfill decisions for missing/wrong PMID links without modifying master Excel.	Entrez publication-resolution table	curated BioProject->PMID backfill table; rowwise evidence with resolved publication
26	ChIP	scripts/55_make_chip_resolved_publication_queue.py	26_make_chip_resolved_publication_queue.py	no	active_ChIP_publication_queue	Build resolved-publication ChIP queue and PMID download manifest.	curated backfill table; rowwise evidence with resolved publication	chip_resolved_publication_queue.tsv; chip_pmid_download_manifest.tsv
27	ChIP	scripts/56_prepare_chip_pdf_download_manifest.py	27_prepare_chip_paper_downloads.py	no	active_ChIP_paper_preparation	Prepare ChIP PMID manifest for open-access PDF downloader.	chip_pmid_download_manifest.tsv	PDF download manifest for scripts/15_download_open_access_pdfs.py
28	shared	scripts/15_download_open_access_pdfs.py	28_download_open_access_papers_optional.py	public web/NCBI/PMC; no OpenAI	active_shared_paper_download	Download open-access papers/PDFs where possible.	PMID download manifest	PDF/text cache and download status table
29	ChIP	scripts/57_build_chip_paper_availability_and_ai_readiness.py	29_build_chip_ai_readiness.py	no	active_ChIP_ai_readiness	Merge resolved ChIP queue with PDF availability and define AI-ready packets.	resolved publication queue; PDF download status	chip_paper_availability_review.tsv; chip_ai_ready_queue.tsv
30	ChIP	scripts/58_make_chip_ai_packets_from_ready_queue.py	30_build_chip_ai_packets.py	no	active_ChIP_packet_build	Build ChIP AI packet JSONs and rowwise sidecar TSVs using the shared packet format.	chip_ai_ready_queue.tsv; paper text/PDF; rowwise evidence	chip_ai_packet_queue.tsv; packet JSONs; packet rowwise TSVs
31	ChIP	scripts/59_preflight_qc_chip_ai_packets.py	31_preflight_chip_ai_packets.py	no	active_ChIP_preflight_QC	Check packet JSON/sidecar/PDF existence, row counts, source_row_id uniqueness, and control flags before AI.	chip_ai_packet_queue.tsv	CHIP_AI_PACKET_PREFLIGHT_QC_REPORT.md; problem rows
32	ChIP	scripts/59b_patch_chip_packet_control_roles.py	32_patch_chip_prelim_control_roles.py	no	active_ChIP_pre_ai_patch	Patch deterministic preliminary ChIP roles where metadata target labels conflict with background/input role evidence.	chip packet JSONs and packet rowwise tables	patched packet JSON/tables and audit
33	ChIP	scripts/62_batch_run_chip_small_packets_production.py	33_run_chip_ai_small_packets_optional.py	OpenAI optional; dry-run by default	active_ChIP_ai_batch	Run AI on small ChIP packets; validate; optionally repair sample_map; summarize final status.	chip_ai_packet_queue.tsv	small-packet ChIP AI output directories and batch results
34	ChIP	scripts/63_prepare_chip_chunked_packet.py	34_prepare_large_chip_packet_chunks.py	no	active_ChIP_chunking	Split one large ChIP packet into target-centered chunks without losing row coverage.	large parent packet JSON/table	chunk packet JSONs, chunk tables, chunk queue
35	ChIP	scripts/64_merge_chip_chunk_outputs.py	35_merge_large_chip_packet_chunks.py	no	active_ChIP_chunk_merge	Merge validated chunk-level rowwise_suggestions into parent AI JSON; verify parent source_row_id coverage.	validated chunk AI JSONs; parent packet table	merged parent AI JSON and audit
36	ChIP	scripts/60_validate_chip_ai_output.py	36_validate_chip_ai_output.py	no	active_ChIP_validation	Validate ChIP AI JSON: rowwise coverage, sample_map partitioning, role consistency, target-control readiness.	ChIP AI JSON; packet table	validation summary, validation issues, validation report
37	ChIP	scripts/60b_rebuild_chip_sample_map_from_rowwise.py	37_repair_chip_sample_map.py	no	active_ChIP_safe_repair	Deterministically rebuild ChIP sample_map from rowwise_suggestions when rowwise coverage is exact.	AI JSON with complete rowwise_suggestions	samplemap_rebuilt AI JSON and audit
38	ChIP	scripts/66_patch_chip_rowwise_roles_from_prelim.py	38_patch_chip_rowwise_roles.py	no	active_ChIP_safe_repair	Patch AI rowwise role labels from deterministic packet-table prelim roles when coverage is exact and mismatches are role-only.	AI JSON; packet table	role-patched AI JSON and patch audit
39	ChIP	scripts/61_inventory_chip_ai_outputs.py	39_inventory_chip_ai_outputs.py	no	active_ChIP_inventory	Find latest raw/repaired ChIP AI JSON per packet; merge validation summaries; select active validated outputs.	ChIP AI output dirs; validation summaries	chip_ai_active_validated_outputs.tsv; inventory report
40	ChIP	scripts/67_finalize_chip_ai_phase.py	40_finalize_chip_ai_phase.py	no	active_ChIP_final_QC	Finalize ChIP AI phase and export rowwise review and target-control map review tables.	active validated ChIP AI outputs	CHIP_AI_PHASE_COMPLETION_REPORT.md; chip_rowwise_review.tsv; chip_target_control_map_review.tsv
41	ChIP	scripts/68e_finalize_chip_curator_excel_v5.py	41_build_chip_curator_workbook.py	no	active_ChIP_curator_excel	Build final ChIP curator Excel with paper summaries, triage, color coding, problem rows, target-control map, and rowwise review.	active ChIP inventory; final QC tables	latest ChIP curator Excel workbook
42	ChIP	scripts/71_export_chip_curator_companion_files.py	42_export_chip_companion_files.py	no	active_ChIP_companion_exports	Export standalone ChIP TSV/MD companion files from the final workbook.	latest ChIP curator Excel workbook	outputs/06_CHIP_AI_ASSIST/22_curator_share_files
43	ChIP	scripts/72c_final_qc_chip_study_summaries.py	43_clean_chip_study_summaries.py	no	active_ChIP_summary_cleanup	Final cleanup of ChIP study summaries: remove chunk/pipeline artifacts from curator-facing text.	chip_ai_study_summaries_clean.tsv/md	CHIP_AI_STUDY_SUMMARIES_CLEAN.md; FINAL_QC report
90	shared	scripts/70_package_curator_share_bundle.py	90_package_curator_release.py	no	active_final_packaging	Package final RNA + ChIP curator-facing files into one folder and zip; excludes raw PDFs, .env, raw AI JSONs, and bulky intermediates.	latest RNA and ChIP curator outputs	outputs/99_CURATOR_SHARE_BUNDLES/curator_share_bundle_<timestamp>.zip
